"id","email","phone","activity_ids","country_id","name","country_id/name"
"__export__.res_partner_10_93fbc326","cruiz.dev@ejemplo.com","'+34 699 111 222","","España","Carlos Ruiz","España"
"__export__.res_partner_9_6f02c641","ventas@delsur.es","'+34 677 888 999","","España","Distribuciones del Sur","España"
"__export__.res_partner_16_30864cd7","etorres.design@ejemplo.com","'+34 633 222 111","","España","Elena Torres","España"
"__export__.res_partner_11_cea84e74","logistica@global.es","'+34 622 333 444","","España","Global Logistics S.L.","España"
"__export__.res_partner_15_8bac2b80","dev@innovaciones.es","'+34 698 765 432","","España","Innovaciones Web","España"
"__export__.res_partner_12_69444bda","laura.gomez@ejemplo.com","'+34 655 444 333","","España","Laura Gómez","España"
"__export__.res_partner_8_6a505507","maria.fernandez@ejemplo.com","'+34 644 555 666","","España","María Fernández","España"
"__export__.res_partner_14_dd75fcaa","psanchez@ejemplo.com","'+34 612 345 678","","España","Pedro Sánchez","España"
"__export__.res_partner_13_3bcbb14d","contacto@sistemas.es","'+34 688 777 666","","España","Sistemas Avanzados","España"
"__export__.res_partner_7_884d1639","info@techsolutions.es","'+34 611 222 333","","España","Tech Solutions Ibérica","España"
